English,Romanian
any,orice
new,nou
work,locul de munca
take,ia
get,obtine
place,loc
live,trai
where,unde
after,dupa
back,inapoi
little,mic
only,numai
round,rotund
came,a venit
every,fiecare
good,bun
give,da
our,nostru
under,sub
name,nume
very,foarte
just,doar
form,forma
sentence,propozitie
think,cred
say,spune
help,ajuta
low,scazut
line,linie
differ,difera
turn,randul sau
cause,cauza
mean,Adica
before,inainte
move,miscare
right,dreapta
boy,baiat
old,vechi
too,prea
same,acelasi
she,ea
all,toate
there,acolo
when,cand
up,in sus
use,utilizare
your,dumneavoastra
way,cale
about,despre
many,multe
then,apoi
them,lor
write,Trimite
would,ar
so,asa
these,acestea
her,ei
long,lung
make,face
thing,lucru
see,vezi
him,l
has,are
look,uita-te
more,mai mult
day,zi
could,ar putea
go,merge
did,a facut
number,numar
sound,sunet
no,nu
most,cel mai
people,oameni
over,peste
know,cunoaste
water,de apa
than,decat
call,apel
first,primul
may,putea
down,jos
side,lateral
been,fost
now,acum
find,gasi
